year,hospital,mergeid,control,location,teach,bedsize,region
1999,45013,199945013,2,1,1,2,3
1999,47030,199947030,2,1,1,3,3
1999,47030,199947030,2,1,1,3,3
2000,13072,200013072,0,1,1,3,3
2000,13096,200013096,0,1,1,3,3
2000,19138,200019138,4,0,1,3,2
2000,21067,200021067,0,1,1,2,3
2000,21067,200021067,0,1,1,2,3
2000,21067,200021067,0,1,1,2,3
2000,21067,200021067,0,1,1,2,3
2000,21067,200021067,0,1,1,2,3
2000,21067,200021067,0,1,1,2,3
2000,21067,200021067,0,1,1,2,3
2000,21067,200021067,0,1,1,2,3
2000,21067,200021067,0,1,1,2,3
2000,25051,200025051,0,1,1,3,1
2000,29052,200029052,0,1,1,3,2
2000,29110,200029110,0,1,0,3,2
2000,37098,200037098,2,1,0,3,3
2000,41051,200041051,0,1,1,3,4
2000,42080,200042080,0,1,1,3,1
2000,42080,200042080,0,1,1,3,1
2000,42080,200042080,0,1,1,3,1
2000,42080,200042080,0,1,1,3,1
2000,42080,200042080,0,1,1,3,1
2000,42080,200042080,0,1,1,3,1
2000,42080,200042080,0,1,1,3,1
2000,42080,200042080,0,1,1,3,1
2000,42080,200042080,0,1,1,3,1
2000,42080,200042080,0,1,1,3,1
2000,42080,200042080,0,1,1,3,1
2000,42080,200042080,0,1,1,3,1
2000,42080,200042080,0,1,1,3,1
2000,42080,200042080,0,1,1,3,1
2000,42080,200042080,0,1,1,3,1
2000,42080,200042080,0,1,1,3,1
2000,42080,200042080,0,1,1,3,1
2000,42080,200042080,0,1,1,3,1
2000,42080,200042080,0,1,1,3,1
2000,42080,200042080,0,1,1,3,1
2000,42130,200042130,0,1,1,2,1
2000,42332,200042332,0,1,1,3,1
2000,47033,200047033,0,1,1,3,3
2000,47033,200047033,0,1,1,3,3
2000,47033,200047033,0,1,1,3,3
2000,48056,200048056,0,1,1,3,3
2000,48056,200048056,0,1,1,3,3
2000,48056,200048056,0,1,1,3,3
2000,48056,200048056,0,1,1,3,3
2000,48056,200048056,0,1,1,3,3
2000,48056,200048056,0,1,1,3,3
2000,48056,200048056,0,1,1,3,3
2000,48056,200048056,0,1,1,3,3
2000,48056,200048056,0,1,1,3,3
2000,48056,200048056,0,1,1,3,3
2000,48056,200048056,0,1,1,3,3
