"","procedures","meanDay","meanDayFromLVAD","n"
"551",8961,6.90625,-0.0625,32
"552",8962,8.66666666666667,-13.9047619047619,21
"553",8963,7.38235294117647,-14.9117647058824,34
"554",8964,7.13104838709677,-7.41733870967742,496
"555",8965,5.58333333333333,-1.33333333333333,12
"556",8966,3,-14,1
"557",8967,2.95652173913043,-9.8695652173913,23
"558",8968,6.74725274725275,-5.32417582417582,182
"559",8969,0,-1,1
"560",9146,11,-7,2
"561",9202,29,14,1
"562",9204,29,14,1
"563",9205,2,-7.5,2
"564",9212,35,16,1
"565",9215,6.25,-7.75,4
"566",9218,8,-35,1
"567",9219,25.5,22,2
"568",9227,16,-13,1
"569",9311,4,3,1
"570",9336,29,19,1
"571",9339,13.5,3.21428571428571,42
"572",9356,29.6666666666667,1.33333333333333,6
"573",9357,25.8571428571429,-4.71428571428571,7
"574",9358,18,2,1
"575",9359,11.5,7,2
"576",9375,23.5555555555556,9.55555555555556,9
"577",9383,19.8,9.63333333333333,30
"578",9390,10.625,0.583333333333333,48
"579",9391,17,7,1
"580",9393,0,-1,1
"581",9394,24,21,1
"582",9396,2.57142857142857,-3.14285714285714,14
"583",9398,5,-1,1
"584",9399,2,-8,1
"585",9427,20,3,1
"586",9604,10.8849557522124,0.787610619469027,452
"587",9605,17,5.9,10
"588",9607,16.2,1.2,10
"589",9608,26.25,21.25,4
"590",9609,9,8,1
"591",9633,13,8,1
"592",9649,28,11,1
"593",9654,31.5,20,2
"594",9656,16.1,9.8,30
"595",9657,9,0,1
"596",9659,16.3888888888889,4.77777777777778,18
"597",9671,10.2145454545455,1.47272727272727,275
"598",9672,8.21897810218978,-0.604014598540146,548
"599",9702,57,55,1
"600",9723,18.3333333333333,9,3
"601",9729,14,13,1
"602",9739,7.66666666666667,5.66666666666667,3
"603",9741,4,4,1
"604",9744,9.81481481481481,-2.51111111111111,135
"605",9749,10,0.142857142857143,14
"606",9751,46,39,1
"607",9785,6,1,1
"608",9789,21,-3,4
"609",9851,10,-1,1
"610",9900,5.63076923076923,0.307692307692308,65
"611",9902,0,0,1
"612",9903,0,0,1
"613",9904,10.4635488308116,1.95323246217332,727
"614",9905,7.76165803108808,0.634715025906736,386
"615",9906,7.71084337349398,0.746987951807229,83
"616",9907,8.14757709251101,0.563876651982379,454
"617",9908,7,0,1
"618",9909,7.61538461538461,0.0256410256410256,39
"619",9910,14.952380952381,5.42857142857143,21
"620",9911,30,17,1
"621",9914,1,1,2
"622",9915,16.7183098591549,5.19718309859155,71
"623",9917,5,-11.3333333333333,3
"624",9918,6.33333333333333,0,3
"625",9919,6.66666666666667,-0.888888888888889,9
"626",9920,5.70967741935484,-2.25806451612903,31
"627",9921,13.9583333333333,2.79166666666667,24
"628",9923,25.4,1.6,5
"629",9929,2.88888888888889,-8,9
"630",9952,5.5,3.5,2
"631",9955,7,5,2
"632",9960,8.13207547169811,-0.0377358490566038,53
"633",9961,18.7272727272727,-1.04545454545455,44
"634",9962,10.3893129770992,2.19083969465649,131
"635",9963,2.83333333333333,-2.66666666666667,6
"636",9969,3.5,1,4
"637",9971,10.5833333333333,1.58333333333333,12
"638",9973,12,0,1
"639",9974,23,7.2,5
"640",9977,15.1666666666667,0.666666666666667,6
"641",9978,11,-0.428571428571429,7
"642",9979,5.5,2.5,2
"643",9981,4,0,1
"644",9999,7.22222222222222,0,9
