,procedures,meanDay,meanDayFromLVAD,n
456,8512,16,-13,1
464,8623,9,-52,1
470,8670,66,66,1
471,8671,15,11,1
472,8672,43,40,1
474,8675,92,85,1
475,8689,26,0,1
477,8712,13,-9,1
481,8762,43,41,1
482,8769,35,20,1
483,8774,34,16,1
484,8775,17,-1,1
495,8850,0,-2,1
507,8866,3,-18,1
512,8874,41,20,1
516,8891,20,-7,1
518,8898,4,-39,1
525,8950,44,41,1
527,8954,0,-1,1
528,8958,10,8,1
536,8966,3,-14,1
539,8969,0,-1,1
541,9202,29,14,1
542,9204,29,14,1
544,9212,35,16,1
546,9218,8,-35,1
548,9227,16,-13,1
549,9311,4,3,1
550,9336,29,19,1
554,9358,18,2,1
559,9391,17,7,1
560,9393,0,-1,1
561,9394,24,21,1
563,9398,5,-1,1
564,9399,2,-8,1
565,9427,20,3,1
570,9609,9,8,1
571,9633,13,8,1
572,9649,28,11,1
575,9657,9,0,1
579,9702,57,55,1
581,9729,14,13,1
583,9741,4,4,1
586,9751,46,39,1
587,9785,6,1,1
589,9851,10,-1,1
591,9902,0,0,1
592,9903,0,0,1
597,9908,7,0,1
600,9911,30,17,1
618,9973,12,0,1
623,9981,4,0,1
