hospital,control,location,teach,bedsize,region,teachloc
8098,1,0,0,1,4,1
8102,2,1,0,2,4,2
8104,2,1,0,2,4,2
8105,1,0,0,2,4,1
8106,0,1,1,3,4,3
8107,1,0,0,2,4,1
8108,0,1,1,1,4,3
8110,2,1,0,3,4,2
8113,3,1,0,3,4,2
8114,4,0,0,3,4,1
8115,0,1,1,2,4,3
8117,4,0,0,1,4,1
9001,1,1,0,1,1,2
9002,0,1,1,1,1,3
9003,0,1,1,1,1,3
9006,0,1,1,2,1,3
9007,2,1,0,2,1,2
9008,2,1,0,1,1,2
9011,0,1,0,3,1,2
9013,0,0,0,2,1,1
9015,2,0,0,2,1,1
9024,2,0,0,2,1,1
9025,0,1,1,1,1,3
9026,0,1,0,1,1,2
9028,2,1,1,1,1,3
9029,0,1,1,2,1,3
9030,0,1,1,3,1,3
9033,0,1,1,1,1,3
9034,0,1,0,3,1,2
9036,0,0,0,3,1,1
9039,2,0,0,1,1,1
9041,0,1,0,1,1,2
9042,2,1,1,2,1,3
9044,2,1,1,1,1,3
9047,2,1,0,1,1,2
9048,0,1,1,2,1,3
9054,0,1,0,2,1,2
9060,0,1,1,1,1,3
9062,2,0,0,2,1,1
9069,2,1,1,2,1,3
9070,0,1,1,3,1,3
9071,2,1,1,2,1,3
9072,0,1,1,2,1,3
9073,0,1,1,2,1,3
9074,0,1,1,2,1,3
12001,3,1,0,3,3,2
12002,3,1,0,3,3,2
12003,3,,,1,3,2
12006,2,1,1,2,3,3
12007,1,1,1,3,3,3
12008,2,,,2,3,2
12009,3,1,0,3,3,2
12010,3,1,0,3,3,2
12011,1,,,2,3,2
12012,3,1,0,1,3,2
12013,1,1,0,2,3,2
12014,2,1,0,1,3,2
12017,2,1,1,2,3,3
12019,3,1,0,1,3,2
12020,2,1,0,3,3,2
12021,2,0,0,3,3,1
12024,1,1,0,3,3,2
12025,2,1,0,1,3,2
12027,2,1,0,3,3,2
12028,2,1,0,2,3,2
12029,3,1,0,2,3,2
12030,2,1,0,1,3,2
12031,2,1,1,2,3,3
12032,1,1,0,2,3,2
12033,1,1,0,3,3,2
12035,1,1,0,1,3,2
12037,3,0,0,3,3,1
12038,2,,,3,3,2
12039,2,1,0,3,3,2
12042,2,1,1,3,3,3
12043,1,,,3,3,2
12044,3,,,3,3,2
12047,2,0,0,1,3,1
12050,3,1,0,1,3,2
12051,3,1,0,2,3,2
12052,3,1,0,3,3,2
12053,2,1,0,3,3,2
12054,2,1,0,3,3,2
12055,2,1,0,3,3,2
12056,3,1,0,2,3,2
12057,2,1,0,2,3,2
12058,3,1,0,1,3,2
12059,2,1,0,1,3,2
12060,1,1,0,1,3,2
12061,2,1,0,3,3,2
12062,2,1,0,3,3,2
12064,3,0,0,3,3,1
12066,2,0,0,1,3,1
12067,2,1,0,2,3,2
12068,1,1,0,3,3,2
12071,2,1,0,3,3,2
12072,3,0,0,1,3,1
12074,3,1,0,3,3,2
12077,2,1,0,2,3,2
12078,2,,,2,3,2
12080,3,1,0,2,3,2
12082,3,1,0,2,3,2
12084,2,1,1,1,3,3
12085,3,0,0,1,3,1
12087,3,1,0,3,3,2
12088,3,,,1,3,2
12091,2,0,0,1,3,1
12093,3,1,0,2,3,2
12094,3,1,0,2,3,2
12096,3,0,0,2,3,1
12099,1,1,0,1,3,2
12100,2,,,3,3,2
12101,1,0,0,1,3,1
12102,2,1,0,1,3,2
12103,3,1,0,2,3,2
12104,2,1,0,1,3,2
12105,3,1,0,2,3,2
12107,2,0,0,1,3,1
12108,3,1,0,2,3,2
12109,2,1,0,3,3,2
12111,2,1,0,2,3,2
12112,3,1,0,2,3,2
12113,2,0,0,3,3,1
12114,3,0,0,1,3,1
12116,3,0,0,3,3,1
12118,3,1,0,2,3,2
12119,1,1,0,3,3,2
12120,1,1,0,2,3,2
12121,3,1,0,1,3,2
12124,2,1,0,1,3,2
12125,3,1,0,2,3,2
12126,2,1,0,1,3,2
12127,3,1,0,3,3,2
12128,1,0,0,1,3,1
12129,1,0,0,1,3,1
12131,3,0,0,3,3,1
12134,3,1,0,3,3,2
12136,2,0,0,2,3,1
12137,3,1,0,2,3,2
12138,1,1,0,1,3,2
12139,1,,,1,3,2
12140,2,1,0,3,3,2
12141,3,0,0,2,3,1
12142,1,,,1,3,2
12144,2,1,0,3,3,2
12145,3,,,3,3,2
12148,3,1,0,2,3,2
12150,2,1,0,3,3,2
12152,3,1,0,3,3,2
12154,3,,,1,3,2
12155,2,1,0,2,3,2
12157,1,1,0,1,3,2
12158,2,,,3,3,2
12159,2,1,0,3,3,2
12162,3,1,0,1,3,2
12165,3,1,0,2,3,2
12166,2,1,1,2,3,3
12167,2,1,0,3,3,2
12168,2,,,1,3,2
12169,2,,,3,3,2
12170,2,1,0,3,3,2
12171,3,1,0,3,3,2
12172,2,1,0,3,3,2
12173,3,,,1,3,2
12175,1,0,0,1,3,1
12177,3,1,0,3,3,2
12178,3,1,0,3,3,2
12180,3,1,0,3,3,2
12183,3,1,0,2,3,2
12184,3,,,3,3,2
12185,2,1,0,3,3,2
12186,2,0,0,3,3,1
12187,3,0,0,2,3,1
12188,2,1,0,2,3,2
12190,2,0,0,1,3,1
12191,2,1,0,3,3,2
12195,2,1,0,2,3,2
12196,3,1,0,2,3,2
12197,3,,,3,3,2
12198,3,1,1,1,3,3
12199,2,0,0,1,3,1
12200,3,1,0,3,3,2
12202,3,1,0,3,3,2
12203,2,1,1,3,3,3
12206,2,1,0,3,3,2
12208,3,,,3,3,2
12209,1,,,3,3,1
12211,2,,,2,3,2
12213,3,1,0,2,3,2
12214,3,1,0,2,3,2
12215,1,,,2,3,1
12218,2,1,0,1,3,2
12221,2,1,0,1,3,2
12222,3,1,0,3,3,2
12224,1,1,0,3,3,2
12225,3,1,0,3,3,2
12226,3,1,0,3,3,2
12227,3,1,0,2,3,2
12229,2,1,0,2,3,2
12230,2,1,0,1,3,2
12231,3,1,0,3,3,2
12232,1,1,0,2,3,2
12233,3,1,0,2,3,2
12235,3,1,0,3,3,2
12236,3,,,2,3,2
12238,3,1,0,3,3,2
12239,3,1,0,1,3,2
12240,2,1,0,3,3,2
12241,3,1,0,2,3,2
12242,3,1,0,1,3,2
12243,3,1,0,2,3,2
12244,3,,,1,3,1
12245,3,,,1,3,2
12246,1,0,0,3,3,1
12248,3,1,0,2,3,2
12249,1,,,3,3,3
12253,2,1,0,1,3,2
12254,2,,,2,3,2
12255,2,1,1,3,3,3
12256,3,1,0,1,3,2
12260,2,1,0,3,3,2
12263,2,,,3,3,2
12265,2,1,0,2,3,2
12266,1,1,1,3,3,3
12267,3,1,0,2,3,2
12268,3,0,0,1,3,1
12269,2,,,3,3,2
12271,2,1,0,1,3,2
12272,1,,,2,3,3
12273,3,1,0,3,3,2
12274,2,1,0,2,3,2
12275,2,1,0,2,3,2
12277,3,1,0,3,3,2
12278,3,1,0,3,3,2
12279,2,1,0,1,3,2
12280,2,1,0,3,3,2
12281,2,1,0,3,3,2
12282,2,1,0,2,3,2
12284,2,0,0,2,3,1
12285,3,1,0,2,3,2
12286,3,0,0,3,3,1
12287,3,1,0,3,3,2
12288,2,1,0,2,3,2
12291,2,0,0,1,3,1
12292,2,,,3,3,2
12293,3,1,0,3,3,2
12297,2,0,0,2,3,1
12298,2,1,0,3,3,2
12299,3,1,0,3,3,2
12300,3,,,2,3,2
12301,2,1,0,2,3,2
12302,2,1,0,3,3,2
12303,2,1,0,2,3,2
12305,3,,,2,3,2
12306,2,0,0,3,3,1
12307,0,1,1,3,3,3
12308,3,1,0,2,3,2
12309,3,1,0,1,3,2
12311,3,1,0,2,3,2
12313,2,1,1,1,3,3
12314,3,1,0,3,3,2
12316,2,1,0,3,3,2
12319,2,1,1,1,3,3
12320,2,1,1,3,3,3
12321,2,1,0,3,3,2
12322,2,1,0,3,3,2
12323,2,1,0,3,3,2
12324,2,,,3,3,1
12325,1,1,0,2,3,2
12326,2,1,0,3,3,2
12327,1,1,0,2,3,2
12328,2,1,0,3,3,2
12329,3,1,0,3,3,2
12330,3,1,0,3,3,2
12331,3,1,0,2,3,2
12332,2,1,0,1,3,2
12333,3,1,1,3,3,3
12334,1,1,1,2,3,3
12336,2,1,0,3,3,2
12337,1,1,0,3,3,2
12338,1,1,0,1,3,2
12339,3,1,0,3,3,2
12340,2,1,0,3,3,2
12343,2,1,0,3,3,2
12376,0,1,1,3,3,3
12377,3,1,0,3,3,2
12378,2,0,0,2,3,1
12379,2,0,0,2,3,1
12382,2,1,0,1,3,2
12383,3,1,0,1,3,2
12386,2,1,0,1,3,2
12387,3,1,0,1,3,2
12388,3,1,0,1,3,2
12391,2,1,0,1,3,2
12392,3,1,0,1,3,2
12393,3,1,0,1,3,2
13001,3,1,0,1,3,2
13002,3,0,0,2,3,1
13003,2,1,0,3,3,2
13004,2,1,1,2,3,3
13005,1,0,0,1,3,1
13006,3,1,0,2,3,2
13007,1,0,0,3,3,1
13008,1,1,0,3,3,2
13009,2,1,0,2,3,2
13010,3,1,0,3,3,2
13011,0,1,1,2,3,3
13012,0,1,1,2,3,3
13013,0,1,1,3,3,3
13014,2,1,0,2,3,2
13015,0,1,1,1,3,3
13016,2,1,0,3,3,2
13017,0,1,1,2,3,3
13018,2,1,0,3,3,2
13019,2,1,0,1,3,2
13020,0,1,1,2,3,3
13021,1,1,1,2,3,3
